Bins,Sports1,Sports2,Garden1,Garden2,Fashion1,Fashion2,Animal1,Animals2,Food1,Food2
0,pentathlon,kayaking,hibiscus,hoeing,camisole,epaulet,narwhal,ibis,calzone,congee
1,acrobatics,rapier,geranium,gardenia,loincloth,bandana,manatee,seahorse,nougat,lentil
2,strikeout,midfield,compost,trellis,waistcoat,hairpin,lioness,gnat,paella,sorbet
3,lacrosse,archery,wheelbarrow,lilac,beret,petticoat,porcupine,walrus,guacamole,oregano
4,aerobics,softball,greenhouse,orchid,locket,shawl,lark,panda,meatloaf,caramel
5,polo,hiking,cactus,bouquet,blouse,tuxedo,dolphin,hen,oatmeal,lettuce
6,karate,boxing,fountain,hose,gown,jeans,elephant,squirrel,ginger,hamburger
7,basketball,hockey,weed,flower,crown,sweater,snake,frog,rice,salad
8,football,baseball,yard,pool,jacket,shirt,cow,monkey,cake,pizza
9,court,ball,tea,land,hat,pants,bear,horse,beer,wine
